full_text,casefolding,clean_text,tokenized,no_stopwords,stemmed,final_text
@JukiHoki Jadi MBG min... https://t.co/AbXHsQvMd6,@jukihoki jadi mbg min... https://t.co/abxhsqvmd6,jadi mbg min,"['jadi', 'mbg', 'min']","['mbg', 'min']","['mbg', 'min']",mbg min
@ryeonseunggg @52XYZ @ARSIPAJA konteks MBG untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi 3T mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,@ryeonseunggg @52xyz @arsipaja konteks mbg untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi 3t mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,konteks mbg untuk perbaikan gizi gizi apa yang segitu mana sekarang bahan baku pangan melambung tinggi banget kecuali sasaran lokasi t mungkin bisa dikatakan meningkatkan gizi tp klo di perkotaan kayanya lebih baik masakan sendiri,"['konteks', 'mbg', 'untuk', 'perbaikan', 'gizi', 'gizi', 'apa', 'yang', 'segitu', 'mana', 'sekarang', 'bahan', 'baku', 'pangan', 'melambung', 'tinggi', 'banget', 'kecuali', 'sasaran', 'lokasi', 't', 'mungkin', 'bisa', 'dikatakan', 'meningkatkan', 'gizi', 'tp', 'klo', 'di', 'perkotaan', 'kayanya', 'lebih', 'baik', 'masakan', 'sendiri']","['konteks', 'mbg', 'perbaikan', 'gizi', 'gizi', 'segitu', 'bahan', 'baku', 'pangan', 'melambung', 'banget', 'kecuali', 'sasaran', 'lokasi', 't', 'meningkatkan', 'gizi', 'tp', 'klo', 'perkotaan', 'kayanya', 'masakan']","['konteks', 'mbg', 'baik', 'gizi', 'gizi', 'segitu', 'bahan', 'baku', 'pangan', 'lambung', 'banget', 'kecuali', 'sasar', 'lokasi', 't', 'tingkat', 'gizi', 'tp', 'klo', 'kota', 'kaya', 'masakan']",konteks mbg baik gizi gizi segitu bahan baku pangan lambung banget kecuali sasar lokasi t tingkat gizi tp klo kota kaya masakan
@tempodotco Lah kenapa? Nasi 10rb dsni udh enak. Dpt ayam telor sayur sambel kerupuk. Bergizi kok itu. Masalahnya dana yg dikasih prabowo engga 10rb per porsi karena tetangga gw ngelola mbg,@tempodotco lah kenapa? nasi 10rb dsni udh enak. dpt ayam telor sayur sambel kerupuk. bergizi kok itu. masalahnya dana yg dikasih prabowo engga 10rb per porsi karena tetangga gw ngelola mbg,lah kenapa nasi rb dsni udh enak dpt ayam telor sayur sambel kerupuk bergizi kok itu masalahnya dana yg dikasih prabowo engga rb per porsi karena tetangga gw ngelola mbg,"['lah', 'kenapa', 'nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'bergizi', 'kok', 'itu', 'masalahnya', 'dana', 'yg', 'dikasih', 'prabowo', 'engga', 'rb', 'per', 'porsi', 'karena', 'tetangga', 'gw', 'ngelola', 'mbg']","['nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'bergizi', 'dana', 'yg', 'dikasih', 'prabowo', 'engga', 'rb', 'porsi', 'tetangga', 'gw', 'ngelola', 'mbg']","['nasi', 'rb', 'dsni', 'udh', 'enak', 'dpt', 'ayam', 'telor', 'sayur', 'sambel', 'kerupuk', 'gizi', 'dana', 'yg', 'kasih', 'prabowo', 'engga', 'rb', 'porsi', 'tetangga', 'gw', 'ngelola', 'mbg']",nasi rb dsni udh enak dpt ayam telor sayur sambel kerupuk gizi dana yg kasih prabowo engga rb porsi tetangga gw ngelola mbg
@blossomjarr gakan keracunan kan bukan menu mbg. ‍,@blossomjarr gakan keracunan kan bukan menu mbg. ‍,gakan keracunan kan bukan menu mbg,"['gakan', 'keracunan', 'kan', 'bukan', 'menu', 'mbg']","['gakan', 'keracunan', 'menu', 'mbg']","['gakan', 'racun', 'menu', 'mbg']",gakan racun menu mbg
@ifti_tahida MBG naik level dimulai dengan tingkatkan mutunya bareng Prabowo,@ifti_tahida mbg naik level dimulai dengan tingkatkan mutunya bareng prabowo,mbg naik level dimulai dengan tingkatkan mutunya bareng prabowo,"['mbg', 'naik', 'level', 'dimulai', 'dengan', 'tingkatkan', 'mutunya', 'bareng', 'prabowo']","['mbg', 'level', 'tingkatkan', 'mutunya', 'bareng', 'prabowo']","['mbg', 'level', 'tingkat', 'mutu', 'bareng', 'prabowo']",mbg level tingkat mutu bareng prabowo
Woooiii Santri cuma Bayar 400rb untuk makan 3 kali sehari selama 30 hari...gak cukup kiyai tombok ituu... MBG yang dapat makan siang keracunan itu saja habiskan anggaran 30 juta per 10 hari... @TRANS7 @TRANSTV_CORP pakai otak dong...,woooiii santri cuma bayar 400rb untuk makan 3 kali sehari selama 30 hari...gak cukup kiyai tombok ituu... mbg yang dapat makan siang keracunan itu saja habiskan anggaran 30 juta per 10 hari... @trans7 @transtv_corp pakai otak dong...,woooiii santri cuma bayar rb untuk makan kali sehari selama harigak cukup kiyai tombok ituu mbg yang dapat makan siang keracunan itu saja habiskan anggaran juta per hari pakai otak dong,"['woooiii', 'santri', 'cuma', 'bayar', 'rb', 'untuk', 'makan', 'kali', 'sehari', 'selama', 'harigak', 'cukup', 'kiyai', 'tombok', 'ituu', 'mbg', 'yang', 'dapat', 'makan', 'siang', 'keracunan', 'itu', 'saja', 'habiskan', 'anggaran', 'juta', 'per', 'hari', 'pakai', 'otak', 'dong']","['woooiii', 'santri', 'bayar', 'rb', 'makan', 'kali', 'sehari', 'harigak', 'kiyai', 'tombok', 'ituu', 'mbg', 'makan', 'siang', 'keracunan', 'habiskan', 'anggaran', 'juta', 'pakai', 'otak']","['woooiii', 'santri', 'bayar', 'rb', 'makan', 'kali', 'hari', 'harigak', 'kiyai', 'tombok', 'ituu', 'mbg', 'makan', 'siang', 'racun', 'habis', 'anggar', 'juta', 'pakai', 'otak']",woooiii santri bayar rb makan kali hari harigak kiyai tombok ituu mbg makan siang racun habis anggar juta pakai otak
kata kiti hiu mbg........ https://t.co/IUpFP9wFFy,kata kiti hiu mbg........ https://t.co/iupfp9wffy,kata kiti hiu mbg,"['kata', 'kiti', 'hiu', 'mbg']","['kiti', 'hiu', 'mbg']","['kit', 'hiu', 'mbg']",kit hiu mbg
@anomyhae @paivting MBG juga apa kabar ?,@anomyhae @paivting mbg juga apa kabar ?,mbg juga apa kabar,"['mbg', 'juga', 'apa', 'kabar']","['mbg', 'kabar']","['mbg', 'kabar']",mbg kabar
Mbappe mangan MBG,mbappe mangan mbg,mbappe mangan mbg,"['mbappe', 'mangan', 'mbg']","['mbappe', 'mangan', 'mbg']","['mbappe', 'mangan', 'mbg']",mbappe mangan mbg
@meliksumanandar @paivting Cmn asal punya ide aja... urusin aja tuh MBG apa masih kurang cuan ?,@meliksumanandar @paivting cmn asal punya ide aja... urusin aja tuh mbg apa masih kurang cuan ?,cmn asal punya ide aja urusin aja tuh mbg apa masih kurang cuan,"['cmn', 'asal', 'punya', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'apa', 'masih', 'kurang', 'cuan']","['cmn', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'cuan']","['cmn', 'ide', 'aja', 'urusin', 'aja', 'tuh', 'mbg', 'cuan']",cmn ide aja urusin aja tuh mbg cuan
@Zat_46 @tempodotco yakin mbg berhasil walau gaada kejelasan pasti apa indikator output dan outcome buat ngukur keberhasilan ,@zat_46 @tempodotco yakin mbg berhasil walau gaada kejelasan pasti apa indikator output dan outcome buat ngukur keberhasilan ,yakin mbg berhasil walau gaada kejelasan pasti apa indikator output dan outcome buat ngukur keberhasilan,"['yakin', 'mbg', 'berhasil', 'walau', 'gaada', 'kejelasan', 'pasti', 'apa', 'indikator', 'output', 'dan', 'outcome', 'buat', 'ngukur', 'keberhasilan']","['mbg', 'berhasil', 'gaada', 'kejelasan', 'indikator', 'output', 'outcome', 'ngukur', 'keberhasilan']","['mbg', 'hasil', 'gaada', 'jelas', 'indikator', 'output', 'outcome', 'ngukur', 'hasil']",mbg hasil gaada jelas indikator output outcome ngukur hasil
@tempodotco Dibilang tuh maksud hati mau nasi kuning or nasi uduk tapi kurang etis jadilah MBG. Padahal nasi kuning dan nasi uduk lebih mengenyangkan.,@tempodotco dibilang tuh maksud hati mau nasi kuning or nasi uduk tapi kurang etis jadilah mbg. padahal nasi kuning dan nasi uduk lebih mengenyangkan.,dibilang tuh maksud hati mau nasi kuning or nasi uduk tapi kurang etis jadilah mbg padahal nasi kuning dan nasi uduk lebih mengenyangkan,"['dibilang', 'tuh', 'maksud', 'hati', 'mau', 'nasi', 'kuning', 'or', 'nasi', 'uduk', 'tapi', 'kurang', 'etis', 'jadilah', 'mbg', 'padahal', 'nasi', 'kuning', 'dan', 'nasi', 'uduk', 'lebih', 'mengenyangkan']","['dibilang', 'tuh', 'maksud', 'hati', 'nasi', 'kuning', 'or', 'nasi', 'uduk', 'etis', 'mbg', 'nasi', 'kuning', 'nasi', 'uduk', 'mengenyangkan']","['bilang', 'tuh', 'maksud', 'hati', 'nasi', 'kuning', 'or', 'nasi', 'uduk', 'etis', 'mbg', 'nasi', 'kuning', 'nasi', 'uduk', 'kenyang']",bilang tuh maksud hati nasi kuning or nasi uduk etis mbg nasi kuning nasi uduk kenyang
siapapun selipin menu mbg ke lunch dia dong jir,siapapun selipin menu mbg ke lunch dia dong jir,siapapun selipin menu mbg ke lunch dia dong jir,"['siapapun', 'selipin', 'menu', 'mbg', 'ke', 'lunch', 'dia', 'dong', 'jir']","['selipin', 'menu', 'mbg', 'lunch', 'jir']","['selipin', 'menu', 'mbg', 'lunch', 'jir']",selipin menu mbg lunch jir
@PutraHunian Dengan MBG anak-anak punya energi lebih untuk belajar dan berprestasi. #PenuhiGiziIndonesia,@putrahunian dengan mbg anak-anak punya energi lebih untuk belajar dan berprestasi. #penuhigiziindonesia,dengan mbg anakanak punya energi lebih untuk belajar dan berprestasi,"['dengan', 'mbg', 'anakanak', 'punya', 'energi', 'lebih', 'untuk', 'belajar', 'dan', 'berprestasi']","['mbg', 'anakanak', 'energi', 'belajar', 'berprestasi']","['mbg', 'anakanak', 'energi', 'ajar', 'prestasi']",mbg anakanak energi ajar prestasi
@PutraHunian Lewat MBG masa depan bangsa dibangun dari anak-anak yang sehat. #PenuhiGiziIndonesia,@putrahunian lewat mbg masa depan bangsa dibangun dari anak-anak yang sehat. #penuhigiziindonesia,lewat mbg masa depan bangsa dibangun dari anakanak yang sehat,"['lewat', 'mbg', 'masa', 'depan', 'bangsa', 'dibangun', 'dari', 'anakanak', 'yang', 'sehat']","['mbg', 'bangsa', 'dibangun', 'anakanak', 'sehat']","['mbg', 'bangsa', 'bangun', 'anakanak', 'sehat']",mbg bangsa bangun anakanak sehat
@PutraHunian Program MBG hadir untuk memastikan setiap anak tumbuh sehat dan kuat. #PenuhiGiziIndonesia,@putrahunian program mbg hadir untuk memastikan setiap anak tumbuh sehat dan kuat. #penuhigiziindonesia,program mbg hadir untuk memastikan setiap anak tumbuh sehat dan kuat,"['program', 'mbg', 'hadir', 'untuk', 'memastikan', 'setiap', 'anak', 'tumbuh', 'sehat', 'dan', 'kuat']","['program', 'mbg', 'hadir', 'anak', 'tumbuh', 'sehat', 'kuat']","['program', 'mbg', 'hadir', 'anak', 'tumbuh', 'sehat', 'kuat']",program mbg hadir anak tumbuh sehat kuat
@PutraHunian Dengan MBG tak ada lagi anak yang belajar dengan perut kosong. #PenuhiGiziIndonesia,@putrahunian dengan mbg tak ada lagi anak yang belajar dengan perut kosong. #penuhigiziindonesia,dengan mbg tak ada lagi anak yang belajar dengan perut kosong,"['dengan', 'mbg', 'tak', 'ada', 'lagi', 'anak', 'yang', 'belajar', 'dengan', 'perut', 'kosong']","['mbg', 'anak', 'belajar', 'perut', 'kosong']","['mbg', 'anak', 'ajar', 'perut', 'kosong']",mbg anak ajar perut kosong
@PutraHunian Program MBG menjamin setiap anak mendapat hak gizi seimbang. #PenuhiGiziIndonesia,@putrahunian program mbg menjamin setiap anak mendapat hak gizi seimbang. #penuhigiziindonesia,program mbg menjamin setiap anak mendapat hak gizi seimbang,"['program', 'mbg', 'menjamin', 'setiap', 'anak', 'mendapat', 'hak', 'gizi', 'seimbang']","['program', 'mbg', 'menjamin', 'anak', 'hak', 'gizi', 'seimbang']","['program', 'mbg', 'jamin', 'anak', 'hak', 'gizi', 'imbang']",program mbg jamin anak hak gizi imbang
@PutraHunian Dengan MBG anak-anak tumbuh bukan hanya cerdas tapi juga kuat dan bahagia. #PenuhiGiziIndonesia,@putrahunian dengan mbg anak-anak tumbuh bukan hanya cerdas tapi juga kuat dan bahagia. #penuhigiziindonesia,dengan mbg anakanak tumbuh bukan hanya cerdas tapi juga kuat dan bahagia,"['dengan', 'mbg', 'anakanak', 'tumbuh', 'bukan', 'hanya', 'cerdas', 'tapi', 'juga', 'kuat', 'dan', 'bahagia']","['mbg', 'anakanak', 'tumbuh', 'cerdas', 'kuat', 'bahagia']","['mbg', 'anakanak', 'tumbuh', 'cerdas', 'kuat', 'bahagia']",mbg anakanak tumbuh cerdas kuat bahagia
@PutraHunian Lewat MBG kita tumbuhkan semangat sehat di setiap sekolah Indonesia. #PenuhiGiziIndonesia,@putrahunian lewat mbg kita tumbuhkan semangat sehat di setiap sekolah indonesia. #penuhigiziindonesia,lewat mbg kita tumbuhkan semangat sehat di setiap sekolah indonesia,"['lewat', 'mbg', 'kita', 'tumbuhkan', 'semangat', 'sehat', 'di', 'setiap', 'sekolah', 'indonesia']","['mbg', 'tumbuhkan', 'semangat', 'sehat', 'sekolah', 'indonesia']","['mbg', 'tumbuh', 'semangat', 'sehat', 'sekolah', 'indonesia']",mbg tumbuh semangat sehat sekolah indonesia
@PutraHunian Program MBG memperkuat cita-cita Indonesia bebas stunting. #PenuhiGiziIndonesia,@putrahunian program mbg memperkuat cita-cita indonesia bebas stunting. #penuhigiziindonesia,program mbg memperkuat citacita indonesia bebas stunting,"['program', 'mbg', 'memperkuat', 'citacita', 'indonesia', 'bebas', 'stunting']","['program', 'mbg', 'memperkuat', 'citacita', 'indonesia', 'bebas', 'stunting']","['program', 'mbg', 'kuat', 'citacita', 'indonesia', 'bebas', 'stunting']",program mbg kuat citacita indonesia bebas stunting
@PutraHunian Lewat MBG kita wujudkan keadilan gizi di setiap pelosok negeri. #PenuhiGiziIndonesia,@putrahunian lewat mbg kita wujudkan keadilan gizi di setiap pelosok negeri. #penuhigiziindonesia,lewat mbg kita wujudkan keadilan gizi di setiap pelosok negeri,"['lewat', 'mbg', 'kita', 'wujudkan', 'keadilan', 'gizi', 'di', 'setiap', 'pelosok', 'negeri']","['mbg', 'wujudkan', 'keadilan', 'gizi', 'pelosok', 'negeri']","['mbg', 'wujud', 'adil', 'gizi', 'pelosok', 'negeri']",mbg wujud adil gizi pelosok negeri
@PutraHunian Dengan MBG kita buktikan bahwa masa depan yang kuat dimulai dari gizi yang cukup. #PenuhiGiziIndonesia,@putrahunian dengan mbg kita buktikan bahwa masa depan yang kuat dimulai dari gizi yang cukup. #penuhigiziindonesia,dengan mbg kita buktikan bahwa masa depan yang kuat dimulai dari gizi yang cukup,"['dengan', 'mbg', 'kita', 'buktikan', 'bahwa', 'masa', 'depan', 'yang', 'kuat', 'dimulai', 'dari', 'gizi', 'yang', 'cukup']","['mbg', 'buktikan', 'kuat', 'gizi']","['mbg', 'bukti', 'kuat', 'gizi']",mbg bukti kuat gizi
@PutraHunian Program MBG membuat sekolah bukan hanya tempat belajar tapi juga tumbuh sehat. #PenuhiGiziIndonesia,@putrahunian program mbg membuat sekolah bukan hanya tempat belajar tapi juga tumbuh sehat. #penuhigiziindonesia,program mbg membuat sekolah bukan hanya tempat belajar tapi juga tumbuh sehat,"['program', 'mbg', 'membuat', 'sekolah', 'bukan', 'hanya', 'tempat', 'belajar', 'tapi', 'juga', 'tumbuh', 'sehat']","['program', 'mbg', 'sekolah', 'belajar', 'tumbuh', 'sehat']","['program', 'mbg', 'sekolah', 'ajar', 'tumbuh', 'sehat']",program mbg sekolah ajar tumbuh sehat
@PutraHunian Dengan MBG kita perkuat pondasi generasi emas Indonesia 2045. #PenuhiGiziIndonesia,@putrahunian dengan mbg kita perkuat pondasi generasi emas indonesia 2045. #penuhigiziindonesia,dengan mbg kita perkuat pondasi generasi emas indonesia,"['dengan', 'mbg', 'kita', 'perkuat', 'pondasi', 'generasi', 'emas', 'indonesia']","['mbg', 'perkuat', 'pondasi', 'generasi', 'emas', 'indonesia']","['mbg', 'kuat', 'pondasi', 'generasi', 'emas', 'indonesia']",mbg kuat pondasi generasi emas indonesia
@PutraHunian Lewat MBG anak-anak belajar dengan semangat dan hati yang gembira. #PenuhiGiziIndonesia,@putrahunian lewat mbg anak-anak belajar dengan semangat dan hati yang gembira. #penuhigiziindonesia,lewat mbg anakanak belajar dengan semangat dan hati yang gembira,"['lewat', 'mbg', 'anakanak', 'belajar', 'dengan', 'semangat', 'dan', 'hati', 'yang', 'gembira']","['mbg', 'anakanak', 'belajar', 'semangat', 'hati', 'gembira']","['mbg', 'anakanak', 'ajar', 'semangat', 'hati', 'gembira']",mbg anakanak ajar semangat hati gembira
@iwillbebacks00n @jawafess Jgn meremehkan!! Tnp mbg @KMbappe tidak akan jd kura-kura ninja radio aktif kaya skrg yg cepat dan lincah,@iwillbebacks00n @jawafess jgn meremehkan!! tnp mbg @kmbappe tidak akan jd kura-kura ninja radio aktif kaya skrg yg cepat dan lincah,jgn meremehkan tnp mbg tidak akan jd kurakura ninja radio aktif kaya skrg yg cepat dan lincah,"['jgn', 'meremehkan', 'tnp', 'mbg', 'tidak', 'akan', 'jd', 'kurakura', 'ninja', 'radio', 'aktif', 'kaya', 'skrg', 'yg', 'cepat', 'dan', 'lincah']","['jgn', 'meremehkan', 'tnp', 'mbg', 'jd', 'kurakura', 'ninja', 'radio', 'aktif', 'kaya', 'skrg', 'yg', 'cepat', 'lincah']","['jgn', 'remeh', 'tnp', 'mbg', 'jd', 'kurakura', 'ninja', 'radio', 'aktif', 'kaya', 'skrg', 'yg', 'cepat', 'lincah']",jgn remeh tnp mbg jd kurakura ninja radio aktif kaya skrg yg cepat lincah
@tempodotco Gue sih mendingan bawa bekel dari rumah ketimbang ngandelin mbg yg gak jelas. Amit2 kalo anak gue sekolah nanti ini program masih ada duh jangan sampe deh ‍,@tempodotco gue sih mendingan bawa bekel dari rumah ketimbang ngandelin mbg yg gak jelas. amit2 kalo anak gue sekolah nanti ini program masih ada duh jangan sampe deh ‍,gue sih mendingan bawa bekel dari rumah ketimbang ngandelin mbg yg gak jelas amit kalo anak gue sekolah nanti ini program masih ada duh jangan sampe deh,"['gue', 'sih', 'mendingan', 'bawa', 'bekel', 'dari', 'rumah', 'ketimbang', 'ngandelin', 'mbg', 'yg', 'gak', 'jelas', 'amit', 'kalo', 'anak', 'gue', 'sekolah', 'nanti', 'ini', 'program', 'masih', 'ada', 'duh', 'jangan', 'sampe', 'deh']","['gue', 'sih', 'mendingan', 'bawa', 'bekel', 'rumah', 'ketimbang', 'ngandelin', 'mbg', 'yg', 'gak', 'amit', 'kalo', 'anak', 'gue', 'sekolah', 'program', 'duh', 'sampe', 'deh']","['gue', 'sih', 'mending', 'bawa', 'bekel', 'rumah', 'ketimbang', 'ngandelin', 'mbg', 'yg', 'gak', 'amit', 'kalo', 'anak', 'gue', 'sekolah', 'program', 'duh', 'sampe', 'deh']",gue sih mending bawa bekel rumah ketimbang ngandelin mbg yg gak amit kalo anak gue sekolah program duh sampe deh
bu kah? uang pajak rakyat lo kemanain? mbg diutamain bukannya sehat malah sekarat,bu kah? uang pajak rakyat lo kemanain? mbg diutamain bukannya sehat malah sekarat,bu kah uang pajak rakyat lo kemanain mbg diutamain bukannya sehat malah sekarat,"['bu', 'kah', 'uang', 'pajak', 'rakyat', 'lo', 'kemanain', 'mbg', 'diutamain', 'bukannya', 'sehat', 'malah', 'sekarat']","['bu', 'kah', 'uang', 'pajak', 'rakyat', 'lo', 'kemanain', 'mbg', 'diutamain', 'sehat', 'sekarat']","['bu', 'kah', 'uang', 'pajak', 'rakyat', 'lo', 'kemanain', 'mbg', 'diutamain', 'sehat', 'sekarat']",bu kah uang pajak rakyat lo kemanain mbg diutamain sehat sekarat
@neVerAl0nely___ Bunuhlah semua siswa seluruh Indonesia melalui MBG demi mensukseskan tikus Tiongkok yang bebas mencuri wilayah RI serta tambang emas dll puluhan ribu trilyun rupiah per tahun selama sepuluh tahun terakhir berlanjut tanpa pajak,@neveral0nely___ bunuhlah semua siswa seluruh indonesia melalui mbg demi mensukseskan tikus tiongkok yang bebas mencuri wilayah ri serta tambang emas dll puluhan ribu trilyun rupiah per tahun selama sepuluh tahun terakhir berlanjut tanpa pajak,bunuhlah semua siswa seluruh indonesia melalui mbg demi mensukseskan tikus tiongkok yang bebas mencuri wilayah ri serta tambang emas dll puluhan ribu trilyun rupiah per tahun selama sepuluh tahun terakhir berlanjut tanpa pajak,"['bunuhlah', 'semua', 'siswa', 'seluruh', 'indonesia', 'melalui', 'mbg', 'demi', 'mensukseskan', 'tikus', 'tiongkok', 'yang', 'bebas', 'mencuri', 'wilayah', 'ri', 'serta', 'tambang', 'emas', 'dll', 'puluhan', 'ribu', 'trilyun', 'rupiah', 'per', 'tahun', 'selama', 'sepuluh', 'tahun', 'terakhir', 'berlanjut', 'tanpa', 'pajak']","['bunuhlah', 'siswa', 'indonesia', 'mbg', 'mensukseskan', 'tikus', 'tiongkok', 'bebas', 'mencuri', 'wilayah', 'ri', 'tambang', 'emas', 'dll', 'puluhan', 'ribu', 'trilyun', 'rupiah', 'sepuluh', 'berlanjut', 'pajak']","['bunuh', 'siswa', 'indonesia', 'mbg', 'sukses', 'tikus', 'tiongkok', 'bebas', 'curi', 'wilayah', 'ri', 'tambang', 'emas', 'dll', 'puluh', 'ribu', 'trilyun', 'rupiah', 'puluh', 'lanjut', 'pajak']",bunuh siswa indonesia mbg sukses tikus tiongkok bebas curi wilayah ri tambang emas dll puluh ribu trilyun rupiah puluh lanjut pajak
@rseocita Tingkatkan mutu MBG yuk biar dampaknya nyata ala Prabowo,@rseocita tingkatkan mutu mbg yuk biar dampaknya nyata ala prabowo,tingkatkan mutu mbg yuk biar dampaknya nyata ala prabowo,"['tingkatkan', 'mutu', 'mbg', 'yuk', 'biar', 'dampaknya', 'nyata', 'ala', 'prabowo']","['tingkatkan', 'mutu', 'mbg', 'yuk', 'biar', 'dampaknya', 'nyata', 'ala', 'prabowo']","['tingkat', 'mutu', 'mbg', 'yuk', 'biar', 'dampak', 'nyata', 'ala', 'prabowo']",tingkat mutu mbg yuk biar dampak nyata ala prabowo
@detikcom Jangan biarkan niat baik dikalahkan oleh fitnah. MBG &amp; BGN adalah langkah besar menuju Indonesia bebas gizi buruk. #LanjutkanMBG,@detikcom jangan biarkan niat baik dikalahkan oleh fitnah. mbg &amp; bgn adalah langkah besar menuju indonesia bebas gizi buruk. #lanjutkanmbg,jangan biarkan niat baik dikalahkan oleh fitnah mbg amp bgn adalah langkah besar menuju indonesia bebas gizi buruk,"['jangan', 'biarkan', 'niat', 'baik', 'dikalahkan', 'oleh', 'fitnah', 'mbg', 'amp', 'bgn', 'adalah', 'langkah', 'besar', 'menuju', 'indonesia', 'bebas', 'gizi', 'buruk']","['biarkan', 'niat', 'dikalahkan', 'fitnah', 'mbg', 'amp', 'bgn', 'langkah', 'indonesia', 'bebas', 'gizi', 'buruk']","['biar', 'niat', 'kalah', 'fitnah', 'mbg', 'amp', 'bgn', 'langkah', 'indonesia', 'bebas', 'gizi', 'buruk']",biar niat kalah fitnah mbg amp bgn langkah indonesia bebas gizi buruk
Lewat MBG kita wujudkan Indonesia tanpa stunting satu langkah demi satu piring. #PenuhiGiziIndonesia https://t.co/L1rTJGy1Vs,lewat mbg kita wujudkan indonesia tanpa stunting satu langkah demi satu piring. #penuhigiziindonesia https://t.co/l1rtjgy1vs,lewat mbg kita wujudkan indonesia tanpa stunting satu langkah demi satu piring,"['lewat', 'mbg', 'kita', 'wujudkan', 'indonesia', 'tanpa', 'stunting', 'satu', 'langkah', 'demi', 'satu', 'piring']","['mbg', 'wujudkan', 'indonesia', 'stunting', 'langkah', 'piring']","['mbg', 'wujud', 'indonesia', 'stunting', 'langkah', 'piring']",mbg wujud indonesia stunting langkah piring
Program MBG memastikan gizi tak lagi jadi penghalang mimpi anak-anak. #PenuhiGiziIndonesia https://t.co/PE0kWC5l6a,program mbg memastikan gizi tak lagi jadi penghalang mimpi anak-anak. #penuhigiziindonesia https://t.co/pe0kwc5l6a,program mbg memastikan gizi tak lagi jadi penghalang mimpi anakanak,"['program', 'mbg', 'memastikan', 'gizi', 'tak', 'lagi', 'jadi', 'penghalang', 'mimpi', 'anakanak']","['program', 'mbg', 'gizi', 'penghalang', 'mimpi', 'anakanak']","['program', 'mbg', 'gizi', 'halang', 'mimpi', 'anakanak']",program mbg gizi halang mimpi anakanak
Dengan MBG setiap anak mendapatkan hak gizi yang sama tanpa terkecuali. #PenuhiGiziIndonesia https://t.co/ARR6OJbIYd,dengan mbg setiap anak mendapatkan hak gizi yang sama tanpa terkecuali. #penuhigiziindonesia https://t.co/arr6ojbiyd,dengan mbg setiap anak mendapatkan hak gizi yang sama tanpa terkecuali,"['dengan', 'mbg', 'setiap', 'anak', 'mendapatkan', 'hak', 'gizi', 'yang', 'sama', 'tanpa', 'terkecuali']","['mbg', 'anak', 'hak', 'gizi', 'terkecuali']","['mbg', 'anak', 'hak', 'gizi', 'kecuali']",mbg anak hak gizi kecuali
Setiap suapan dari MBG membawa harapan besar untuk masa depan cerah. #PenuhiGiziIndonesia https://t.co/V57vtLkBpK,setiap suapan dari mbg membawa harapan besar untuk masa depan cerah. #penuhigiziindonesia https://t.co/v57vtlkbpk,setiap suapan dari mbg membawa harapan besar untuk masa depan cerah,"['setiap', 'suapan', 'dari', 'mbg', 'membawa', 'harapan', 'besar', 'untuk', 'masa', 'depan', 'cerah']","['suapan', 'mbg', 'membawa', 'harapan', 'cerah']","['suap', 'mbg', 'bawa', 'harap', 'cerah']",suap mbg bawa harap cerah
