full_text,casefolding,clean_text,tokenized,no_stopwords,stemmed,final_text
@neo_k00k33 Kepsek guru dan semua pengurus di sekolah berusaha membina para siswa. Eh yg membina malah disanksi dinonaktifkan Maksudnya apa ya gub? @banten_pemprov @Kemdikdasmen #SaveKepsek Ini gokil kali komennya abis maksi MBG langsung sebat https://t.co/I3lun75v8Z,@neo_k00k33 kepsek guru dan semua pengurus di sekolah berusaha membina para siswa. eh yg membina malah disanksi dinonaktifkan maksudnya apa ya gub? @banten_pemprov @kemdikdasmen #savekepsek ini gokil kali komennya abis maksi mbg langsung sebat https://t.co/i3lun75v8z,kepsek guru dan semua pengurus di sekolah berusaha membina para siswa eh yg membina malah disanksi dinonaktifkan maksudnya apa ya gub ini gokil kali komennya abis maksi mbg langsung sebat,"['kepsek', 'guru', 'dan', 'semua', 'pengurus', 'di', 'sekolah', 'berusaha', 'membina', 'para', 'siswa', 'eh', 'yg', 'membina', 'malah', 'disanksi', 'dinonaktifkan', 'maksudnya', 'apa', 'ya', 'gub', 'ini', 'gokil', 'kali', 'komennya', 'abis', 'maksi', 'mbg', 'langsung', 'sebat']","['kepsek', 'guru', 'pengurus', 'sekolah', 'berusaha', 'membina', 'siswa', 'eh', 'yg', 'membina', 'disanksi', 'dinonaktifkan', 'maksudnya', 'ya', 'gub', 'gokil', 'kali', 'komennya', 'abis', 'maksi', 'mbg', 'langsung', 'sebat']","['kepsek', 'guru', 'urus', 'sekolah', 'usaha', 'bina', 'siswa', 'eh', 'yg', 'bina', 'sanksi', 'nonaktif', 'maksud', 'ya', 'gub', 'gokil', 'kali', 'komennya', 'abis', 'maksi', 'mbg', 'langsung', 'sebat']",kepsek guru urus sekolah usaha bina siswa eh yg bina sanksi nonaktif maksud ya gub gokil kali komennya abis maksi mbg langsung sebat
@frabbenyy @ulil_f4 @turn_base_debat @ardisatriawan ga dpt mbg dulunya,@frabbenyy @ulil_f4 @turn_base_debat @ardisatriawan ga dpt mbg dulunya,ga dpt mbg dulunya,"['ga', 'dpt', 'mbg', 'dulunya']","['ga', 'dpt', 'mbg', 'dulunya']","['ga', 'dpt', 'mbg', 'dulunya']",ga dpt mbg dulunya
@JukiHoki Nampan MBG,@jukihoki nampan mbg,nampan mbg,"['nampan', 'mbg']","['nampan', 'mbg']","['nampan', 'mbg']",nampan mbg
sukses terus ya! MBG langkah tepat buat masa depan https://t.co/nq6hoOWtbZ,sukses terus ya! mbg langkah tepat buat masa depan https://t.co/nq6hoowtbz,sukses terus ya mbg langkah tepat buat masa depan,"['sukses', 'terus', 'ya', 'mbg', 'langkah', 'tepat', 'buat', 'masa', 'depan']","['sukses', 'ya', 'mbg', 'langkah']","['sukses', 'ya', 'mbg', 'langkah']",sukses ya mbg langkah
Yang butuh porter guide naik gunung bisaaa dm yaaa for more information #gunung #porter #guide #dmmeformoreinformation #mbg #Trending https://t.co/OmAt2vVGgR,yang butuh porter guide naik gunung bisaaa dm yaaa for more information #gunung #porter #guide #dmmeformoreinformation #mbg #trending https://t.co/omat2vvggr,yang butuh porter guide naik gunung bisaaa dm yaaa for more information,"['yang', 'butuh', 'porter', 'guide', 'naik', 'gunung', 'bisaaa', 'dm', 'yaaa', 'for', 'more', 'information']","['butuh', 'porter', 'guide', 'gunung', 'bisaaa', 'dm', 'yaaa', 'for', 'more', 'information']","['butuh', 'porter', 'guide', 'gunung', 'bisaaa', 'dm', 'yaaa', 'for', 'more', 'information']",butuh porter guide gunung bisaaa dm yaaa for more information
@Hortensiera orang kayanya kalo aku blg itu makanan mbg juga bakal percaya wkwk,@hortensiera orang kayanya kalo aku blg itu makanan mbg juga bakal percaya wkwk,orang kayanya kalo aku blg itu makanan mbg juga bakal percaya wkwk,"['orang', 'kayanya', 'kalo', 'aku', 'blg', 'itu', 'makanan', 'mbg', 'juga', 'bakal', 'percaya', 'wkwk']","['orang', 'kayanya', 'kalo', 'blg', 'makanan', 'mbg', 'percaya', 'wkwk']","['orang', 'kaya', 'kalo', 'blg', 'makan', 'mbg', 'percaya', 'wkwk']",orang kaya kalo blg makan mbg percaya wkwk
Rezim sekarang ngeliat kasus yg buruk dgn contoh keracunan MBG &amp; pelecahan seksual hanya sebatas angka bukan ngelihat disisi kemanusiaan &amp; efek yg diderita pada korban!!!,rezim sekarang ngeliat kasus yg buruk dgn contoh keracunan mbg &amp; pelecahan seksual hanya sebatas angka bukan ngelihat disisi kemanusiaan &amp; efek yg diderita pada korban!!!,rezim sekarang ngeliat kasus yg buruk dgn contoh keracunan mbg amp pelecahan seksual hanya sebatas angka bukan ngelihat disisi kemanusiaan amp efek yg diderita pada korban,"['rezim', 'sekarang', 'ngeliat', 'kasus', 'yg', 'buruk', 'dgn', 'contoh', 'keracunan', 'mbg', 'amp', 'pelecahan', 'seksual', 'hanya', 'sebatas', 'angka', 'bukan', 'ngelihat', 'disisi', 'kemanusiaan', 'amp', 'efek', 'yg', 'diderita', 'pada', 'korban']","['rezim', 'ngeliat', 'yg', 'buruk', 'dgn', 'contoh', 'keracunan', 'mbg', 'amp', 'pelecahan', 'seksual', 'sebatas', 'angka', 'ngelihat', 'disisi', 'kemanusiaan', 'amp', 'efek', 'yg', 'diderita', 'korban']","['rezim', 'ngeliat', 'yg', 'buruk', 'dgn', 'contoh', 'racun', 'mbg', 'amp', 'lecah', 'seksual', 'batas', 'angka', 'ngelihat', 'sisi', 'manusia', 'amp', 'efek', 'yg', 'derita', 'korban']",rezim ngeliat yg buruk dgn contoh racun mbg amp lecah seksual batas angka ngelihat sisi manusia amp efek yg derita korban
@ExKsatria @FuzaFirdaus 1. MBG 335T 2. kopdes 80T (bahkan bisa ratusan T tergantung plafon yg dianggarin) 3. anggaran aparat naik signifikan 4. jumlah K/L membengkak 5. dividen BUMN 80T lenyap karna DANANTARA itulah sebab hak daerah dirampas 222T (2026) dan 50T (2025),@exksatria @fuzafirdaus 1. mbg 335t 2. kopdes 80t (bahkan bisa ratusan t tergantung plafon yg dianggarin) 3. anggaran aparat naik signifikan 4. jumlah k/l membengkak 5. dividen bumn 80t lenyap karna danantara itulah sebab hak daerah dirampas 222t (2026) dan 50t (2025),mbg t kopdes t bahkan bisa ratusan t tergantung plafon yg dianggarin anggaran aparat naik signifikan jumlah kl membengkak dividen bumn t lenyap karna danantara itulah sebab hak daerah dirampas t dan t,"['mbg', 't', 'kopdes', 't', 'bahkan', 'bisa', 'ratusan', 't', 'tergantung', 'plafon', 'yg', 'dianggarin', 'anggaran', 'aparat', 'naik', 'signifikan', 'jumlah', 'kl', 'membengkak', 'dividen', 'bumn', 't', 'lenyap', 'karna', 'danantara', 'itulah', 'sebab', 'hak', 'daerah', 'dirampas', 't', 'dan', 't']","['mbg', 't', 'kopdes', 't', 'ratusan', 't', 'tergantung', 'plafon', 'yg', 'dianggarin', 'anggaran', 'aparat', 'signifikan', 'kl', 'membengkak', 'dividen', 'bumn', 't', 'lenyap', 'karna', 'danantara', 'hak', 'daerah', 'dirampas', 't', 't']","['mbg', 't', 'kopdes', 't', 'ratus', 't', 'gantung', 'plafon', 'yg', 'dianggarin', 'anggar', 'aparat', 'signifikan', 'kl', 'bengkak', 'dividen', 'bumn', 't', 'lenyap', 'karna', 'danantara', 'hak', 'daerah', 'rampas', 't', 't']",mbg t kopdes t ratus t gantung plafon yg dianggarin anggar aparat signifikan kl bengkak dividen bumn t lenyap karna danantara hak daerah rampas t t
mbg pastinya bikin hidup lebih baik https://t.co/1J7110KgI6,mbg pastinya bikin hidup lebih baik https://t.co/1j7110kgi6,mbg pastinya bikin hidup lebih baik,"['mbg', 'pastinya', 'bikin', 'hidup', 'lebih', 'baik']","['mbg', 'pastinya', 'bikin', 'hidup']","['mbg', 'pasti', 'bikin', 'hidup']",mbg pasti bikin hidup
program MBG bisa bawa perubahan positif kita dukung https://t.co/lI3CAGPiYm,program mbg bisa bawa perubahan positif kita dukung https://t.co/li3cagpiym,program mbg bisa bawa perubahan positif kita dukung,"['program', 'mbg', 'bisa', 'bawa', 'perubahan', 'positif', 'kita', 'dukung']","['program', 'mbg', 'bawa', 'perubahan', 'positif', 'dukung']","['program', 'mbg', 'bawa', 'ubah', 'positif', 'dukung']",program mbg bawa ubah positif dukung
Diserang Isu Tak Sedap SPPG di Makassar Ajak Guru-guru Masuk Dapur dan Cicipi Langsung MBG https://t.co/QRHCXWSw9v,diserang isu tak sedap sppg di makassar ajak guru-guru masuk dapur dan cicipi langsung mbg https://t.co/qrhcxwsw9v,diserang isu tak sedap sppg di makassar ajak guruguru masuk dapur dan cicipi langsung mbg,"['diserang', 'isu', 'tak', 'sedap', 'sppg', 'di', 'makassar', 'ajak', 'guruguru', 'masuk', 'dapur', 'dan', 'cicipi', 'langsung', 'mbg']","['diserang', 'isu', 'sedap', 'sppg', 'makassar', 'ajak', 'guruguru', 'masuk', 'dapur', 'cicipi', 'langsung', 'mbg']","['serang', 'isu', 'sedap', 'sppg', 'makassar', 'ajak', 'guruguru', 'masuk', 'dapur', 'cicip', 'langsung', 'mbg']",serang isu sedap sppg makassar ajak guruguru masuk dapur cicip langsung mbg
