"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1978391529858183586","Wed Oct 15 09:24:32 +0000 2025","0","Kalau daerah bisa kreatif manfaatin TKD kayak MBG mungkin ketimpangan ekonomi bisa berkurang. #tkd #gasssnow https://t.co/N4x8GvzvfZ","1978391529858183586","https://pbs.twimg.com/media/G3Som2wbwAAzfST.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391529858183586","1710655661841989632",
"1978391525110272223","Wed Oct 15 09:24:30 +0000 2025","0","Banyak program TKD gagal karena gak punya arah jelas. MBG beda ada struktur dan tujuannya. #tkd #gasssnow https://t.co/N7jXV1c8h5","1978391525110272223","https://pbs.twimg.com/media/G3Som3rbUAASdcf.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391525110272223","1710962602971725824",
"1978391523659063673","Wed Oct 15 09:24:30 +0000 2025","0","MBG bikin TKD gak cuma soal anggaran tapi soal keberlanjutan ekonomi masyarakat kecil. #tkd #gasssnow https://t.co/tIxiJDNveF","1978391523659063673","https://pbs.twimg.com/media/G3SomvdbQAAu46I.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391523659063673","1710937570572718080",
"1978391521754824971","Wed Oct 15 09:24:30 +0000 2025","0","TKD bikin peluang MBG realisasinya. Dua-duanya penting buat ekonomi lokal yang mandiri. #tkd #gasssnow https://t.co/6peaxzGYC3","1978391521754824971","https://pbs.twimg.com/media/G3SomaOaYAA3rTl.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391521754824971","1710221853435027456",
"1978391520374870512","Wed Oct 15 09:24:29 +0000 2025","0","Kadang kebijakan kayak TKD baru terasa real kalau diimplementasi lewat program kayak MBG. #tkd #gasssnow https://t.co/bj5g02Pmly","1978391520374870512","https://pbs.twimg.com/media/G3SomSSacAAgoPR.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391520374870512","1710627302370054144",
"1978391516633506043","Wed Oct 15 09:24:28 +0000 2025","0","TKD di atas kertas terlihat teknis tapi MBG bikin konsep itu jadi relevan buat masyarakat. #tkd #gasssnow https://t.co/Ojl8Ppd6WF","1978391516633506043","https://pbs.twimg.com/media/G3SomE1asAAk7NZ.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391516633506043","1737434450252980224",
"1978391514360275066","Wed Oct 15 09:24:28 +0000 2025","0","Program kayak MBG jadi contoh konkret kalau TKD bisa punya multiplier ke sektor riil. #tkd #gasssnow https://t.co/HldTuZYEcr","1978391514360275066","https://pbs.twimg.com/media/G3Sol7FakAAoID5.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391514360275066","1874001750287671296",
"1978391509025116533","Wed Oct 15 09:24:27 +0000 2025","0","Efisiensi TKD bukan cuma tugas Mendagri tapi juga pola pikir tiap kepala daerah. MBG bisa dicontoh. #tkd #gasssnow https://t.co/3Uep7CrqwM","1978391509025116533","https://pbs.twimg.com/media/G3SoloJbQAAUFLM.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391509025116533","1737325075664359424",
"1978391505866735908","Wed Oct 15 09:24:26 +0000 2025","0","Bukan cuma soal makan gratis MBG tuh studi kasus pemanfaatan TKD yang produktif banget. #tkd #gasssnow https://t.co/NzS07oLyus","1978391505866735908","https://pbs.twimg.com/media/G3SoleCbcAAORyc.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391505866735908","1737329953606447104",
"1978358116245811417","Wed Oct 15 09:23:45 +0000 2025","0","@RattenEl *melepas topeng* aku adalah mbg","1978391332520333702","","RattenEl","in","","0","0","0","https://x.com/undefined/status/1978391332520333702","1239528674740715527",
"1978376453273096512","Wed Oct 15 09:23:42 +0000 2025","1","@ExKsatria MBG bukan program PDIP btw kalau ada kebijakan yang sama sekali tidak prudent ya MBG itu. Ini kalau mau dibanding KCIC yang masih menguntungkan asal diperjanjang sampai Surabaya &amp; IKN yang strategis untuk pengembangan Kalimantan.","1978391320897933819","","ExKsatria","in","","0","1","0","https://x.com/undefined/status/1978391320897933819","900999973075996672",
"1978391167365464227","Wed Oct 15 09:23:05 +0000 2025","0","TKD dan MBG ini semacam simbiosis: dana turun aktivitas naik dampak ke masyarakat langsung. #tkd #gasssnow https://t.co/7IWHUy036S","1978391167365464227","https://pbs.twimg.com/media/G3SoSEAa0AACPdi.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391167365464227","1710950326663307264",
"1978391166795104704","Wed Oct 15 09:23:05 +0000 2025","0","TKD tanpa strategi kayak MBG cuma angka. Tapi kalau dijalankan benar bisa jadi penggerak hidup. #tkd #gasssnow https://t.co/neZWCC2UbM","1978391166795104704","https://pbs.twimg.com/media/G3SoRtua8AAeC4t.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391166795104704","1710647949993349121",
"1978391164051984727","Wed Oct 15 09:23:04 +0000 2025","0","Kalau pola efisiensi TKD diadopsi kayak MBG bukan mustahil ekonomi lokal makin tangguh. #tkd #gasssnow https://t.co/bDvpXl2m5V","1978391164051984727","https://pbs.twimg.com/media/G3SoRj2asAAsfps.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391164051984727","1710223475598884864",
"1978391162575581457","Wed Oct 15 09:23:04 +0000 2025","0","MBG buktiin kalau TKD bisa jadi instrumen sosial sekaligus ekonomi. Dua-duanya jalan bareng. #tkd #gasssnow https://t.co/hvZ5n65hmp","1978391162575581457","https://pbs.twimg.com/media/G3SoRxjaMAAtavX.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391162575581457","1710942735849730048",
"1978391160763650138","Wed Oct 15 09:23:04 +0000 2025","0","Banyak yang skeptis TKD bisa berdampak langsung tapi MBG ini beneran ngubah pola pikir itu. #tkd #gasssnow https://t.co/R3P1mHwEV6","1978391160763650138","https://pbs.twimg.com/media/G3SoRZObAAAXNUq.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391160763650138","1710611563298914304",
"1978391158658056507","Wed Oct 15 09:23:03 +0000 2025","0","TKD efisien bukan cuma soal hemat tapi juga soal manfaat. MBG udah nunjukin definisinya. #tkd #gasssnow https://t.co/OikWwtsYjk","1978391158658056507","https://pbs.twimg.com/media/G3SoROTbMAA73Z8.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391158658056507","1737256705157906432",
"1978391155030036752","Wed Oct 15 09:23:02 +0000 2025","0","Yang keren dari MBG bukan cuma makanannya tapi cara dia bikin TKD punya arah yang jelas. #tkd #gasssnow https://t.co/2KnTOrfVFt","1978391155030036752","https://pbs.twimg.com/media/G3SoRCdbYAAqlnV.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391155030036752","1813490119506268160",
"1978391152978993572","Wed Oct 15 09:23:02 +0000 2025","0","TKD bisa jadi alat distribusi keadilan ekonomi. MBG udah jadi buktinya di level lapangan. #tkd #gasssnow https://t.co/xF2vjYm768","1978391152978993572","https://pbs.twimg.com/media/G3SoQ9YaMAA65A4.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391152978993572","1711316438534049792",
"1978391152794472711","Wed Oct 15 09:23:02 +0000 2025","0","Pastikan Aman Tanpa Hambatan Polres Kobar Kawal Pendistribusian MBG Polres Kobar Dalam upaya konkret mendukung peningkatan gizi dan kesehatan pelajar Polres Kotawaringin Barat mengawal pendistribusian Makanan Bergizi Gratis (MBG) kepada ratusan pelajar. #astacita https://t.co/37vRQyg7QU","1978391152794472711","https://pbs.twimg.com/media/G3SoA92awAAiMlp.jpg","","in","","0","0","0","https://x.com/undefined/status/1978391152794472711","1646707520852094976",
"1978391065875955961","Wed Oct 15 09:22:41 +0000 2025","0","Antisipasi Keracunan Massal Pemkot Bandung Berencana Bentuk Satgas MBG https://t.co/0CUYF1UCkT","1978391065875955961","","","in","","0","0","1","https://x.com/undefined/status/1978391065875955961","150589950",
"1978321968303903004","Wed Oct 15 09:22:34 +0000 2025","0","@rafidndr_ MBG kan M nya Mbappe","1978391036079620553","","rafidndr_","in","","0","0","0","https://x.com/undefined/status/1978391036079620553","51726671",
"1978390788129042684","Wed Oct 15 09:21:35 +0000 2025","0","Dulu TKD sering dianggap lamban tapi contoh kayak MBG bikin konsep efisiensi itu kebukti. #tkd #gasssnow https://t.co/5srF7FP6ud","1978390788129042684","https://pbs.twimg.com/media/G3Sn7-ub0AAJqsC.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390788129042684","1710260275281321984",
"1978390784421286166","Wed Oct 15 09:21:34 +0000 2025","0","TKD harusnya jadi peluang tiap daerah buat ngebangun model kayak MBG adaptif dan berdampak. #tkd #gasssnow https://t.co/WFJrgZgjIu","1978390784421286166","https://pbs.twimg.com/media/G3Sn7wFbAAAfAeP.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390784421286166","1710960024129085440",
"1978390782743552412","Wed Oct 15 09:21:33 +0000 2025","0","TKD disalurkan MBG jalan petani panen dapur ngebul. Begitu mestinya uang publik bekerja. #tkd #gasssnow https://t.co/Jlag4fRZIM","1978390782743552412","https://pbs.twimg.com/media/G3Sn7XjaQAAnOf2.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390782743552412","1766147678122254336",
"1978390780394790978","Wed Oct 15 09:21:33 +0000 2025","0","Kalau TKD dan MBG disinergikan terus ekonomi lokal bisa jadi benteng dari inflasi nasional. #tkd #gasssnow https://t.co/9N9X4NrGGQ","1978390780394790978","https://pbs.twimg.com/media/G3Sn7IHbMAAPvr4.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390780394790978","1710225693664223232",
"1978390776150155622","Wed Oct 15 09:21:32 +0000 2025","0","Bisa jadi MBG ini blueprint penggunaan TKD yang efisien. Gak ribet tapi dampaknya berlapis. #tkd #gasssnow https://t.co/TrJRGOzPki","1978390776150155622","https://pbs.twimg.com/media/G3Sn68ubYAAVmoP.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390776150155622","1710615056944435200",
"1978390769795846162","Wed Oct 15 09:21:30 +0000 2025","0","TKD 2026 besar banget tapi yang penting bukan jumlahnya melainkan siapa yang bisa manfaatin kayak MBG. #tkd #gasssnow https://t.co/Pp2yxdRcAI","1978390769795846162","https://pbs.twimg.com/media/G3Sn6m5aoAAHmFE.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390769795846162","1813772441187151873",
"1978390766650098049","Wed Oct 15 09:21:30 +0000 2025","0","MBG nunjukin kalau TKD bisa punya bentuk nyata: kerjaan baru bahan lokal terserap ekonomi desa gerak. #tkd #gasssnow https://t.co/qSMCSKuirZ","1978390766650098049","https://pbs.twimg.com/media/G3Sn6bHbgAA4BH9.jpg","","in","","0","0","0","https://x.com/undefined/status/1978390766650098049","1813490008961277952",
