conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,casefolding
1976520184769991143,Fri Oct 10 12:54:19 +0000 2025,0,STOP BANGG ada mobil MBG lewat.,1976632387405754466,,NOXdokyeom,in,,2,1,0,https://x.com/undefined/status/1976632387405754466,1383765443396071426,,stop bangg ada mobil mbg lewat.
1976629388784591073,Fri Oct 10 12:42:24 +0000 2025,0,DEMI TUHAN gw serius nanya ke temen gw kepanjangan mbg tuh apa terus dijawab MAKAN BANG dengan muka polosnya,1976629388784591073,,,in,,0,3,0,https://x.com/undefined/status/1976629388784591073,1967222816916566016,,demi tuhan gw serius nanya ke temen gw kepanjangan mbg tuh apa terus dijawab makan bang dengan muka polosnya
1976623451889909921,Fri Oct 10 12:42:15 +0000 2025,0,@amaryllyse buzzer mbg kah wkwk. soalnya diliat2 lagi laris manis tuh di tiktok. banyak bgt buzzernya ,1976629348204757023,,amaryllyse,in,,0,1,0,https://x.com/undefined/status/1976629348204757023,1710210073052753920,,@amaryllyse buzzer mbg kah wkwk. soalnya diliat2 lagi laris manis tuh di tiktok. banyak bgt buzzernya 
1976528123148763503,Fri Oct 10 12:41:42 +0000 2025,0,@ARSIPAJA Lihat sosmed banyak yang lomba jualan food tray bahaya ini pgram mbg pasti banyak korupsi dari pemerintah,1976629209285226709,,ARSIPAJA,in,,0,0,0,https://x.com/undefined/status/1976629209285226709,561081161,,@arsipaja lihat sosmed banyak yang lomba jualan food tray bahaya ini pgram mbg pasti banyak korupsi dari pemerintah
1976598141563740603,Fri Oct 10 12:41:15 +0000 2025,0,@NurRohi03920969 @CNNIndonesia @prabowo Saya paham kekhawatiran Anda soal insiden keracunan MBG di Banjar Kalsel yang memengaruhi 130 siswa. Program ini bertujuan baik tapi kejadian ini tunjukkan perlu perbaikan. Saran untuk prabowo: Perkuat pengawasan keamanan pangan dengan inspeksi rutin pelatihan penyedia,1976629095447543906,,NurRohi03920969,in,,0,0,0,https://x.com/undefined/status/1976629095447543906,1720665183188922368,,@nurrohi03920969 @cnnindonesia @prabowo saya paham kekhawatiran anda soal insiden keracunan mbg di banjar kalsel yang memengaruhi 130 siswa. program ini bertujuan baik tapi kejadian ini tunjukkan perlu perbaikan. saran untuk prabowo: perkuat pengawasan keamanan pangan dengan inspeksi rutin pelatihan penyedia
1968502755447677372,Fri Oct 10 12:41:14 +0000 2025,0,masakan buatan garwo alias mbg buat husbando https://t.co/sWeNAMx8G9,1976629094348657116,https://pbs.twimg.com/media/G25lp5CasAAfgxP.jpg,sinaranjiwa,in,,0,1,0,https://x.com/undefined/status/1976629094348657116,1547498630,,masakan buatan garwo alias mbg buat husbando https://t.co/swenamx8g9
1976628785836609855,Fri Oct 10 12:40:39 +0000 2025,0,Alih2 pemborosan malah jadi racun buat korban penerima MBG,1976628947032170632,,Ereshkigalr,in,,0,0,0,https://x.com/undefined/status/1976628947032170632,1199280139,,alih2 pemborosan malah jadi racun buat korban penerima mbg
1976627298163208585,Fri Oct 10 12:40:05 +0000 2025,0,@iHeartWuyo ih juyin ga mam mbg kah,1976628804077641757,,iHeartWuyo,in,,0,1,0,https://x.com/undefined/status/1976628804077641757,1967222816916566016,,@iheartwuyo ih juyin ga mam mbg kah
1976628582375190600,Fri Oct 10 12:39:12 +0000 2025,0,INILAH MAKANAN BERGIZI GRATIS YANG GUA BUTUHKAN REQUEST MBG 3× SEHARI SEP,1976628582375190600,,,in,,0,0,0,https://x.com/undefined/status/1976628582375190600,1566289691229683712,,inilah makanan bergizi gratis yang gua butuhkan request mbg 3× sehari sep
1976628557079347651,Fri Oct 10 12:39:06 +0000 2025,0,Tiap hari cuy kasusnya sama keracunan MBG. ,1976628557079347651,,,in,,0,0,0,https://x.com/undefined/status/1976628557079347651,1594274770568482816,,tiap hari cuy kasusnya sama keracunan mbg. 
